Lat	Long
44.94318	-93.320282
45.01614	-93.247704
44.928051	-93.258362
44.943169	-93.270233
44.9412	-93.207314
44.947441	-93.297279
44.968399	-93.209343
44.948662	-93.252151
44.97578	-93.277962
44.948109	-93.232727
45.050671	-93.294998
44.998909	-93.256088
44.964439	-93.279861
44.980202	-93.271111
44.894981	-93.276878
44.946232	-93.252892
45.003471	-93.246536
45.003262	-93.30674
44.962688	-93.274017
45.033001	-93.313248
44.986431	-93.243568
44.916409	-93.292488
45.022968	-93.316856
44.990688	-93.24884
44.953949	-93.282402
44.956291	-93.297569
44.902161	-93.242943
45.027569	-93.234283
44.995098	-93.24733
44.948978	-93.247803
44.922798	-93.316742
44.948189	-93.283409
45.022732	-93.307938
44.970921	-93.255081
45.007359	-93.272072
44.927502	-93.257843
44.983929	-93.240646
45.010101	-93.311142
44.95435	-93.292236
44.94836	-93.298286
44.947441	-93.297279
45.000679	-93.26384
44.955181	-93.277496
44.960541	-93.293518
44.95113	-93.306587
44.976681	-93.272926
44.976681	-93.272926
44.959129	-93.252373
44.890881	-93.288742
44.96875	-93.248421
44.981171	-93.274094
45.011879	-93.297203
45.011299	-93.31295
44.999401	-93.29435
45.008011	-93.295929
44.967251	-93.261452
45.0098	-93.259201
45.011791	-93.246788
44.974419	-93.273621
44.926449	-93.269791
44.98045	-93.271339
44.962952	-93.286407
44.972469	-93.272751
44.93861	-93.267197
44.965069	-93.272392
44.967121	-93.290268
44.989491	-93.281113
44.927078	-93.330742
44.948132	-93.291412
44.999401	-93.29435
44.992001	-93.281464
44.915352	-93.298859
44.968441	-93.258911
45.017281	-93.291443
45.00539	-93.296051
44.97821	-93.269279
44.95195	-93.262642
44.951511	-93.255913
44.976681	-93.272926
44.98798	-93.2257
44.948372	-93.240318
44.926971	-93.289833
44.935188	-93.211838
44.977242	-93.275169
44.91082	-93.249481
45.002171	-93.306511
44.973061	-93.291229
44.977131	-93.27774
45.048222	-93.292412
44.917759	-93.32106
44.949348	-93.236366
44.926689	-93.282173
45.01181	-93.285172
45.015049	-93.241959
44.990559	-93.299789
45.033619	-93.309441
44.905109	-93.22171
44.93969	-93.222443
44.974751	-93.275017
44.945148	-93.29158
44.929951	-93.256538
44.931992	-93.27697
44.925652	-93.260902
44.901058	-93.220741
44.920509	-93.249451
44.925652	-93.261612
45.02137	-93.294701
44.974751	-93.275017
44.97839	-93.26123
44.948139	-93.249229
45.043621	-93.296249
44.969372	-93.25795
44.992279	-93.294456
45.015961	-93.308952
45.014702	-93.24765
44.97543	-93.273247
44.93391	-93.214958
45.027908	-93.295341
44.991959	-93.214249
44.920979	-93.213692
44.976929	-93.271568
44.963341	-93.260078
44.949459	-93.233856
44.960651	-93.25518
44.976681	-93.272926
44.976681	-93.272926
44.97958	-93.272568
44.912811	-93.250778
45.019131	-93.293968
45.02626	-93.31694
44.969311	-93.270844
44.998249	-93.2892
45.019669	-93.281769
44.947651	-93.241348
44.940559	-93.207993
44.951511	-93.235672
44.949348	-93.236366
44.970211	-93.266434
44.976978	-93.277832
44.924591	-93.212387
45.00893	-93.242264
44.943859	-93.205482
44.97374	-93.225471
44.974731	-93.22567
44.926941	-93.265022
44.966839	-93.279709
44.998562	-93.286812
44.988762	-93.29464
44.948372	-93.286812
45.00222	-93.309113
45.013119	-93.288017
44.92403	-93.248932
45.011269	-93.316177
45.01487	-93.262878
44.980141	-93.290031
44.965199	-93.285118
44.990559	-93.299789
44.977982	-93.274788
44.908161	-93.251534
45.027279	-93.283531
44.95554	-93.279831
44.9916	-93.231773
44.967331	-93.240829
44.974751	-93.275017
44.965149	-93.262558
44.907829	-93.319191
44.99276	-93.230392
44.998508	-93.256508
44.948212	-93.298653
44.954578	-93.261307
45.034981	-93.246964
44.999889	-93.297707
44.94796	-93.298653
45.01099	-93.315514
44.955151	-93.288231
45.020111	-93.313713
44.914799	-93.256599
44.90279	-93.218719
44.960911	-93.288002
44.99218	-93.23745
45.029991	-93.294823
44.98859	-93.234863
44.96521	-93.290901
44.97229	-93.260391
44.94231	-93.211769
44.96521	-93.290901
44.974442	-93.27179
44.96521	-93.290901
44.91164	-93.250259
45.003868	-93.308197
44.924049	-93.28273
44.913311	-93.249474
44.914848	-93.268677
44.939289	-93.238663
44.972271	-93.261353
44.946678	-93.223343
44.979759	-93.299812
44.98048	-93.30584
44.9468	-93.301376
44.967709	-93.279327
45.013809	-93.295937
44.921921	-93.226662
44.974209	-93.274048
45.016788	-93.272278
44.93293	-93.262871
44.958221	-93.266586
44.93671	-93.272362
45.005791	-93.311699
44.915878	-93.262398
44.947071	-93.269928
44.977379	-93.273087
44.94865	-93.208611
44.972172	-93.277496
44.99815	-93.291458
44.99044	-93.237648
44.967899	-93.239449
44.948109	-93.232727
44.954632	-93.283943
44.905281	-93.198532
44.959129	-93.252373
44.97179	-93.213654
44.953548	-93.264473
44.948109	-93.283928
44.97604	-93.275368
44.97821	-93.269279
44.929138	-93.233757
44.956032	-93.266991
44.971458	-93.266273
44.942039	-93.289803
45.04052	-93.291077
44.949459	-93.233856
45.035782	-93.316322
44.944099	-93.292862
45.000912	-93.256271
44.97958	-93.276093
44.992401	-93.311142
44.944099	-93.292862
44.954941	-93.285873
44.955399	-93.285393
45.009998	-93.260033
44.992619	-93.232323
44.93837	-93.320763
44.946602	-93.283028
44.987839	-93.234581
45.01783	-93.269836
44.937752	-93.26001
44.977379	-93.273087
45.01075	-93.312408
44.945808	-93.281837
44.95216	-93.28849
45.016651	-93.236847
44.968189	-93.242477
44.95533	-93.230217
44.933899	-93.27063
45.018391	-93.309174
44.892632	-93.304604
45.035191	-93.302628
44.99741	-93.2994
44.955528	-93.24736
44.948349	-93.275391
44.978199	-93.279762
45.013142	-93.295403
45.003559	-93.305382
44.96059	-93.288437
45.04121	-93.291077
44.946678	-93.224716
44.97718	-93.275887
44.985512	-93.307907
44.95171	-93.276268
45.007408	-93.30278
44.920181	-93.247704
44.907478	-93.205032
44.955872	-93.241692
44.901192	-93.277153
44.96426	-93.263222
44.935791	-93.255913
44.986729	-93.245796
44.987968	-93.215187
44.983189	-93.236992
44.968689	-93.210403
44.898869	-93.221321
44.932201	-93.259064
44.975639	-93.276817
44.95401	-93.228813
44.948078	-93.298653
44.95557	-93.233093
44.99192	-93.223213
44.9841	-93.231422
44.962841	-93.272377
44.940521	-93.28524
