Latitude	Longitude
41.9356942	-87.65639159
41.92491317	-87.68656061
41.92463014	-87.71488396
41.91053375	-87.65383232
41.92323941	-87.64140611
41.91550919	-87.71301005
41.88710051	-87.68658592
41.92043499	-87.75778644
41.77460423	-87.70180238
41.80924338	-87.6930111
41.92465795	-87.71241066
41.88202405	-87.69302308
41.88039587	-87.65279303
41.94806847	-87.64312638
41.69219696	-87.61826551
41.95033097	-87.77509682
41.77333227	-87.66281967
41.90650525	-87.75342242
41.89071052	-87.61435531
41.75812089	-87.5663544
41.9614824	-87.67685562
41.90609717	-87.62535403
41.93600635	-87.67180983
41.75313973	-87.56262426
41.77845723	-87.69337244
41.84318486	-87.7305984
41.93657554	-87.70876307
41.72453911	-87.64208423
41.69705009	-87.67398975
41.9448723	-87.73155666
41.92901571	-87.71087639
41.68261469	-87.64815251
41.92902698	-87.70941367
42.01603043	-87.66903815
41.95480245	-87.70071034
41.9377371	-87.6793265
41.74757768	-87.60825544
41.97236456	-87.65630497
41.87782218	-87.65518141
41.8239067	-87.61121785
41.77310456	-87.67373566
41.98072218	-87.67067782
41.83669261	-87.65354981
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
41.8194384	-87.61024451
41.85808595	-87.64693604
41.75655047	-87.59260005
41.97635197	-87.77574123
41.78342422	-87.60964833
41.87284832	-87.69914356
41.89762162	-87.76152485
41.77321226	-87.6908034
41.82353739	-87.70276361
41.86818094	-87.70927139
41.95390047	-87.9074726
41.65182203	-87.61647285
41.86818094	-87.70927139
41.86818094	-87.70927139
41.75761443	-87.58611527
41.74717215	-87.60142938
41.86818094	-87.70927139
41.86818094	-87.70927139
41.87140133	-87.72902997
41.89040464	-87.75176478
41.86365114	-87.71046084
41.77407189	-87.65977649
41.90229611	-87.75135567
41.90721645	-87.63968356
41.75693809	-87.58676816
41.78445257	-87.70163241
41.73634525	-87.62319855
41.71350066	-87.64058365
41.86521884	-87.69460422
41.90432343	-87.75830219
41.94587671	-87.72738614
41.75600726	-87.58753394
41.76359818	-87.66374941
41.73297066	-87.57440238
41.90355935	-87.72764684
41.78670825	-87.6675901
41.88001609	-87.70010088
41.86633267	-87.6392152
41.88428532	-87.69549034
41.88904309	-87.72468063
41.74385113	-87.57098005
41.87188486	-87.70409142
41.86687783	-87.71543722
41.76360295	-87.56537642
41.86818094	-87.70927139
41.97629041	-87.90522722
41.97629041	-87.90522722
41.89241695	-87.63202801
41.92581566	-87.76534842
41.76632558	-87.65293321
41.89630984	-87.7139011
41.78248862	-87.66305794
41.88468582	-87.71197891
41.87882333	-87.72932358
41.87525658	-87.72634627
41.86393007	-87.7194525
41.76970308	-87.66638028
41.87516582	-87.73362099
41.87272921	-87.72636284
41.87177702	-87.71403889
41.87790861	-87.73124529
41.88386143	-87.72821483
41.7719101	-87.68762339
41.73939763	-87.66589153
41.86651468	-87.77416714
41.74935993	-87.66220067
41.88439674	-87.74945428
41.77879007	-87.67028241
41.77864459	-87.67027657
41.87963621	-87.73625614
41.87057148	-87.72778212
41.91411828	-87.74650141
41.76226892	-87.65794997
41.76412036	-87.65592187
41.88041565	-87.72321655
41.90292316	-87.69728116
41.96602645	-87.65787231
41.86373346	-87.7165615
41.7513722	-87.66184989
41.87525463	-87.72649684
41.78674273	-87.66455
41.7789195	-87.664206
41.76465218	-87.66378244
41.76599195	-87.65778263
41.79461272	-87.65974483
41.77377535	-87.64264829
41.71145535	-87.65146484
41.77377535	-87.64264829
41.89425956	-87.71384011
41.97133827	-87.69511533
41.77737544	-87.79728783
41.85991223	-87.71889256
41.78994342	-87.65719385
41.93430059	-87.72460334
41.89220636	-87.71987965
41.93604605	-87.75054541
41.87589308	-87.70438624
41.86560419	-87.72514897
41.79305864	-87.65727113
41.87001012	-87.72645098
41.75135057	-87.55531254
41.8740798	-87.63066067
41.77166991	-87.64943446
41.7694492	-87.65908803
41.77306814	-87.64461351
41.76991675	-87.66395498
41.81973889	-87.61352089
41.80951902	-87.60738495
41.80832471	-87.62443255
41.82875084	-87.62362751
41.88055914	-87.70203807
41.75814185	-87.60413422
41.76603636	-87.66020511
41.77931212	-87.67420734
41.78672718	-87.6661232
41.78588223	-87.67044034
41.78050534	-87.67029774
41.95390047	-87.9074726
41.86818094	-87.70927139
41.8231923	-87.61853419
41.78239215	-87.66063904
41.78649959	-87.64981588
41.78579051	-87.66314455
41.74415121	-87.64870788
41.71651743	-87.62273193
41.77297208	-87.64461087
41.8070487	-87.60384397
41.76938037	-87.66515559
41.97629041	-87.90522722
41.79497274	-87.67068773
41.79312276	-87.67062977
41.7839335	-87.6129572
41.87097224	-87.70431332
41.88071535	-87.72643416
41.91958364	-87.75601938
41.78061065	-87.68489996
41.77342171	-87.67496419
41.79178884	-87.6620883
41.86368496	-87.70307782
41.86783713	-87.69960796
41.77781743	-87.6527201
41.80959465	-87.66743021
41.76788954	-87.66268573
41.76194868	-87.57620889
41.90270863	-87.7219501
41.88320837	-87.63445694
41.97163904	-87.75118821
41.89789513	-87.62409661
41.7496934	-87.62450631
	
41.78032315	-87.67392567
41.97310398	-87.65977967
	
41.68637069	-87.62892144
41.70801561	-87.64529363
41.89567177	-87.7519484
41.7505606	-87.64940937
41.95339974	-87.74877713
41.8774702	-87.67822288
41.79771831	-87.62092242
41.88030381	-87.63697827
41.6806851	-87.65783364
41.88151647	-87.63874243
41.87725862	-87.71225281
41.67909595	-87.6407441
41.90843054	-87.63850953
41.8811725	-87.76815656
41.99042144	-87.70356536
41.92859251	-87.70773849
41.77200392	-87.67946577
41.90993658	-87.62762243
41.87988689	-87.62935957
41.85853016	-87.71397583
42.02177727	-87.66676283
41.74110647	-87.61303302
41.77513633	-87.5902819
41.88104331	-87.76978814
41.96666958	-87.75016711
41.92763776	-87.6682325
41.83457964	-87.68150063
41.73380349	-87.5452439
41.87610831	-87.68486083
41.72131125	-87.56919523
41.85477087	-87.63014895
41.85753386	-87.62560361
41.99352594	-87.67533456
41.78033202	-87.68367086
41.92490358	-87.68729564
41.77426047	-87.62274747
41.92647604	-87.76238439
41.85456844	-87.65211253
42.00357011	-87.69980067
42.00223655	-87.6668675
41.89260283	-87.71500571
41.81410035	-87.59935831
41.77696564	-87.68479736
41.80797996	-87.64399028
41.83117617	-87.68576586
41.7758944	-87.77953767
41.90062965	-87.62831264
41.75003554	-87.55726702
41.97467824	-87.65496392
	
41.70277382	-87.64756867
41.86790793	-87.7311262
41.75144452	-87.67195284
41.90935971	-87.68719523
41.91525907	-87.63413676
41.93694608	-87.66964269
41.66818229	-87.64038528
41.88680517	-87.64475574
41.86734639	-87.63216624
41.9967778	-87.68741165
41.9967778	-87.68741165
41.94103415	-87.63933554
41.69204178	-87.66592364
41.81061071	-87.59353651
41.95349641	-87.65554518
41.79963938	-87.75638939
41.96812055	-87.76258263
41.74517565	-87.7010465
41.88939315	-87.63253485
41.75142421	-87.64284397
41.86821992	-87.66404656
41.91126995	-87.68968522
41.89758593	-87.68555452
41.88546635	-87.7001352
41.70299757	-87.62340447
41.97629353	-87.69893838
41.87388928	-87.63361483
41.90936893	-87.64945819
41.80797996	-87.64399028
41.92994427	-87.65254592
41.74621174	-87.63540603
41.78020523	-87.69829735
41.97873838	-87.82023972
41.83322493	-87.67781194
41.89039682	-87.76778144
41.83112222	-87.62590563
41.89169488	-87.62615583
41.89275303	-87.6241939
41.8902762	-87.63108919
41.88233367	-87.62784179
41.7016233	-87.62930794
41.92132056	-87.69580875
41.80909987	-87.72362963
41.87978069	-87.72405615
41.79951843	-87.59099784
	
41.75877233	-87.68553035
41.88920232	-87.61761146
41.76243084	-87.65283508
41.91626794	-87.69819581
41.76291526	-87.58847293
41.99961445	-87.68580101
41.75039031	-87.61652063
41.83576217	-87.63162307
41.80415465	-87.66728481
41.76576356	-87.58631763
41.89978844	-87.72499
41.70162154	-87.62946909
41.89155712	-87.63593787
41.69634827	-87.53045807
41.92452527	-87.75369655
41.89199038	-87.6114615
41.87347785	-87.65887701
41.751618	-87.64770869
41.74410697	-87.66449429
41.92278653	-87.64504512
41.92278653	-87.64504512
41.84597472	-87.73196687
41.92362043	-87.74628206
41.78022355	-87.6922073
41.73979854	-87.57941139
41.71616512	-87.57325224
41.7044161	-87.62469256
41.75021183	-87.67473233
41.76497115	-87.56151132
41.99359181	-87.66347405
	
	
41.91726396	-87.71833538
	
	
41.77855264	-87.70068942
	
	
	
	
	
	
41.86240588	-87.7146396
	
	
41.74716566	-87.57711917
	
41.87752634	-87.62927899
41.8363442	-87.62673983
	
41.7804394	-87.60372767
41.96840553	-87.71278394
41.7906997	-87.73992777
41.9979941	-87.70935481
41.78447697	-87.70008119
41.94708633	-87.7078334
41.747393	-87.58543861
41.89943253	-87.75816975
41.87390705	-87.72543009
41.97485303	-87.71354512
41.88428728	-87.66166081
41.85223538	-87.67175242
41.84591065	-87.70262471
41.93666461	-87.71609818
	
41.68821818	-87.53735791
	
41.91911684	-87.63991846
41.75809226	-87.56003608
41.97582767	-87.69756759
41.84437288	-87.71557307
41.97876895	-87.80698849
41.93930054	-87.71179449
41.8769047	-87.62904347
41.90530188	-87.69077743
41.89478087	-87.63491478
41.76389461	-87.68189767
41.76254423	-87.67225672
41.68836073	-87.6289876
41.80408454	-87.60552074
41.75692024	-87.58909201
41.98798287	-87.76752543
42.0112923	-87.68118975
	
41.76333778	-87.71624469
	
41.68625271	-87.63251787
41.87795957	-87.62431341
41.87380602	-87.69468028
41.90108126	-87.66293946
41.77428776	-87.73972346
41.93051515	-87.6388138
41.90731231	-87.69698779
41.76246487	-87.67468401
41.97460566	-87.66081929
41.90142898	-87.6698894
41.81122	-87.6151679
41.99133291	-87.70064302
41.87528637	-87.72419798
41.93989863	-87.75428142
41.93989863	-87.75428142
41.69618701	-87.62666131
41.6878375	-87.63498658
41.85308575	-87.72479408
41.73891046	-87.64977849
41.84904557	-87.70882978
41.9142041	-87.63349062
41.9790063	-87.90646316
41.91584125	-87.72896364
41.7649009	-87.57694394
41.92594687	-87.75753112
41.79458389	-87.62930735
41.89275303	-87.6241939
41.77013426	-87.62828805
41.67892203	-87.64559996
41.8806815	-87.7293832
41.95837913	-87.71550263
41.88201285	-87.62833005
41.876834	-87.70232075
41.88077315	-87.72181039
41.89252141	-87.74817194
41.88091259	-87.75508602
41.90173769	-87.71896192
41.89532803	-87.7666287
41.87815262	-87.63027089
41.87096784	-87.70451163
41.80706599	-87.72356088
41.81541953	-87.70271119
41.76545256	-87.62874619
41.90292066	-87.69732527
41.93557	-87.64519435
41.86954645	-87.72284629
41.89538698	-87.75806281
41.93025095	-87.66551528
41.75664045	-87.66359084
41.75034152	-87.65737139
41.70238093	-87.62576589
41.78701723	-87.6455056
41.75852986	-87.56636419
41.75420115	-87.64967857
41.92039427	-87.66845103
41.85465956	-87.71630365
41.68803325	-87.62393147
41.72075461	-87.53891254
41.94384413	-87.64938028
41.83981621	-87.61751617
41.8763964	-87.63073444
41.85012644	-87.69183276
