Latitude	Longitude
34.1237	-118.3018
34.1192	-118.3004
34.1179	-118.293
34.1144	-118.2857
34.1144	-118.2857
34.1687	-118.4137
34.1829	-118.5975
34.064	-118.2791
34.2939	-118.4156
33.9556	-118.2564
34.0263	-118.1923
34.0356	-118.1981
34.0763	-118.2562
34.1183	-118.2737
34.0809	-118.2668
33.9581	-118.2706
34.0463	-118.5305
	
33.9528	-118.2782
33.9519	-118.2784
34.001	-118.3225
34.0062	-118.4461
34.1053	-118.2514
34.011	-118.3351
34.1134	-118.2143
34.1039	-118.26
34.2584	-118.4317
	
34.0242	-118.2959
34.0256	-118.3156
33.7381	-118.2923
33.9682	-118.4195
34.0909	-118.2775
33.9781	-118.4644
33.9455	-118.3768
34.116	-118.2645
34.1213	-118.2625
34.2412	-118.4487
34.1149	-118.2039
34.2688	-118.4158
34.2655	-118.4192
34.2688	-118.4158
34.2688	-118.4158
33.9467	-118.3702
34.1422	-118.1878
34.0037	-118.3089
33.9614	-118.3178
33.9759	-118.3897
34.0725	-118.2459
33.9551	-118.4468
34.0961	-118.2072
33.9926	-118.477
34.1593	-118.5301
34.0313	-118.3921
34.074	-118.2691
33.9676	-118.3003
33.7909	-118.2684
33.7115	-118.2879
33.9953	-118.2478
34.212	-118.5952
34.0265	-118.2882
34.2269	-118.4035
34.0124	-118.2397
34.0473	-118.4743
33.9539	-118.434
34.032	-118.2667
34.2214	-118.4724
34.2748	-118.5621
34.2156	-118.5896
34.3046	-118.4523
34.1707	-118.5408
34.0532	-118.26
33.9527	-118.309
	
34.2645	-118.4651
33.9243	-118.3265
34.0099	-118.3446
34.0817	-118.3272
34.1806	-118.4487
34.1885	-118.44
34.1887	-118.4574
34.1227	-118.2233
34.0382	-118.2487
34.2162	-118.3451
34.2811	-118.5021
34.0499	-118.368
34.1621	-118.4301
33.944	-118.4073
34.2355	-118.4676
34.0765	-118.2868
34.0544	-118.2629
33.7197	-118.2907
33.8181	-118.3059
34.203	-118.4989
34.1649	-118.3724
34.0862	-118.3078
33.9656	-118.2929
34.0073	-118.2784
34.0299	-118.2888
34.2058	-118.3921
34.0981	-118.3071
33.9871	-118.35
33.9765	-118.381
34.194	-118.3932
33.9762	-118.2652
33.9483	-118.2824
34.201	-118.5943
34.0423	-118.2561
34.0836	-118.3017
34.098	-118.3652
34.0034	-118.4317
34.2149	-118.3747
34.2355	-118.4632
34.2661	-118.4221
34.2093	-118.6247
34.0908	-118.3092
33.9908	-118.4207
34.1685	-118.3743
34.2168	-118.3944
34.0618	-118.2998
34.1713	-118.5273
34.1486	-118.4008
34.2247	-118.6019
34.0132	-118.2915
34.0907	-118.188
34.2148	-118.4925
34.0909	-118.2961
34.0909	-118.2846
34.1803	-118.6162
34.027	-118.3766
33.9451	-118.4029
34.0591	-118.3205
34.1716	-118.6102
34.0885	-118.4754
34.0241	-118.2548
33.9429	-118.4031
34.1665	-118.5859
33.9709	-118.2739
34.069	-118.3016
34.233	-118.4386
34.2056	-118.6081
34.1438	-118.4413
33.9428	-118.4054
34.0398	-118.2413
34.0449	-118.2458
34.0398	-118.2726
34.0424	-118.2493
34.048	-118.2577
34.0401	-118.2533
34.0511	-118.2381
34.0423	-118.2452
34.0473	-118.2601
34.0568	-118.2425
34.0473	-118.2566
34.0476	-118.2252
34.0435	-118.2427
34.0707	-118.2795
34.0585	-118.2725
34.0406	-118.2798
34.0763	-118.2917
34.0559	-118.28
34.0663	-118.2789
34.0794	-118.2856
34.0667	-118.2703
